"Demog" "lCI" "Median" "uCI"
"2007" "N4" "6" "15" "29"
"2008" "N4" "12" "25" "49.0249999999999"
"2009" "N4" "8" "19" "33"
"2010" "N4" "9" "17.5" "29.0249999999999"
"2011" "N4" "8" "17" "28"
"2012" "N4" "9.975" "20" "32"
"2013" "N4" "7" "17" "28"
"2014" "N4" "10" "20" "32.0249999999999"
"2015" "N4" "14" "25" "40"
"2016" "N4" "14" "27" "41"
"2017" "N4" "21" "33" "50"
"2018" "N4" "18" "29" "42"
"2019" "N4" "18" "31" "46"
"2020" "N4" "22" "37" "56"
"1973" "Imm" "40" "40" "40"
"1974" "Imm" "34" "34" "34"
"1975" "Imm" "60" "60" "60"
"1976" "Imm" "36" "36" "36"
"1977" "Imm" "62" "62" "62"
"1978" "Imm" "37" "37" "37"
"1979" "Imm" "38" "38" "38"
"1980" "Imm" "49" "49" "49"
"1981" "Imm" "53" "53" "53"
"1982" "Imm" "38" "38" "38"
"1983" "Imm" "41" "41" "41"
"1984" "Imm" "66" "66" "66"
"1985" "Imm" "18" "18" "18"
"1986" "Imm" "41" "41" "41"
"1987" "Imm" "49" "49" "49"
"1988" "Imm" "60" "60" "60"
"1989" "Imm" "22" "22" "22"
"1990" "Imm" "39" "39" "39"
"1991" "Imm" "59" "59" "59"
"1992" "Imm" "40" "40" "40"
"1993" "Imm" "51" "51" "51"
"1994" "Imm" "59" "59" "59"
"1995" "Imm" "52" "52" "52"
"1996" "Imm" "60" "60" "60"
"1997" "Imm" "45" "45" "45"
"1998" "Imm" "60" "60" "60"
"1999" "Imm" "42" "42" "42"
"2000" "Imm" "23" "23" "23"
"2001" "Imm" "62" "62" "62"
"2002" "Imm" "39" "39" "39"
"2003" "Imm" "61" "61" "61"
"2004" "Imm" "42" "42" "42"
"2005" "Imm" "64" "64" "64"
"2006" "Imm" "40" "40" "40"
"2007" "Imm" "65" "65" "65"
"2008" "Imm" "77" "77" "77"
"2009" "Imm" "54" "54" "54"
"2010" "Imm" "51" "51" "51"
"2011" "Imm" "74" "74" "74"
"2012" "Imm" "64" "64" "64"
"2013" "Imm" "39" "39" "39"
"2014" "Imm" "42" "42" "42"
"2015" "Imm" "51" "51" "51"
"2016" "Imm" "40" "40" "40"
"2017" "Imm" "38" "38" "38"
"2018" "Imm" "40" "40" "40"
"2019" "Imm" "47" "47" "47"
"2020" "Imm" "1" "1" "1"
"1973" "localN1" "74" "93" "109"
"1974" "localN1" "33" "54" "79"
"1975" "localN1" "52.975" "73" "96"
"1976" "localN1" "15" "28" "43"
"1977" "localN1" "49" "68" "89"
"1978" "localN1" "25" "40" "61"
"1979" "localN1" "9" "20" "33"
"1980" "localN1" "74" "95" "120"
"1981" "localN1" "32" "48" "66"
"1982" "localN1" "16" "28" "44"
"1983" "localN1" "32" "48" "67"
"1984" "localN1" "26" "43" "61"
"1985" "localN1" "5" "13" "24"
"1986" "localN1" "21" "33" "48"
"1987" "localN1" "33" "49" "67"
"1988" "localN1" "53" "73" "93"
"1989" "localN1" "4" "11" "21"
"1990" "localN1" "18" "30" "46"
"1991" "localN1" "58" "75" "95"
"1992" "localN1" "15.975" "29" "47"
"1993" "localN1" "30" "46" "64"
"1994" "localN1" "6" "15" "28"
"1995" "localN1" "9" "19" "30"
"1996" "localN1" "37" "54" "73"
"1997" "localN1" "13" "26" "43"
"1998" "localN1" "10" "19" "33"
"1999" "localN1" "29" "44" "63"
"2000" "localN1" "14" "25" "38"
"2001" "localN1" "36" "54" "74"
"2002" "localN1" "7" "17" "29"
"2003" "localN1" "49" "67" "87"
"2004" "localN1" "8" "17" "30"
"2005" "localN1" "49" "69" "90"
"2006" "localN1" "13" "24" "38"
"2007" "localN1" "27" "44" "63"
"2008" "localN1" "30" "48" "70"
"2009" "localN1" "14" "28" "45"
"2010" "localN1" "21" "36" "52"
"2011" "localN1" "10" "23" "38"
"2012" "localN1" "72" "92" "118"
"2013" "localN1" "10" "21" "36"
"2014" "localN1" "24" "38" "59"
"2015" "localN1" "22" "37" "54"
"2016" "localN1" "14.975" "30" "47"
"2017" "localN1" "35" "54" "76"
"2018" "localN1" "24" "40" "59"
"2019" "localN1" "57" "77" "99"
"2020" "localN1" "49" "75" "108"
"1973" "localN2" "73" "91" "109"
"1974" "localN2" "44" "60" "77"
"1975" "localN2" "30" "44" "62"
"1976" "localN2" "48" "63" "80"
"1977" "localN2" "23" "34" "47"
"1978" "localN2" "23" "35" "49"
"1979" "localN2" "22" "33" "47"
"1980" "localN2" "23" "34" "46"
"1981" "localN2" "52" "69" "86"
"1982" "localN2" "38" "52" "66"
"1983" "localN2" "24" "34" "47"
"1984" "localN2" "33" "48" "65"
"1985" "localN2" "20" "31" "43"
"1986" "localN2" "8" "15" "23"
"1987" "localN2" "27" "38" "50"
"1988" "localN2" "51" "65" "82"
"1989" "localN2" "36" "50" "64"
"1990" "localN2" "8" "14" "22"
"1991" "localN2" "34" "45" "59"
"1992" "localN2" "47" "63" "79"
"1993" "localN2" "18" "30" "42"
"1994" "localN2" "25" "38" "52"
"1995" "localN2" "16" "25" "35"
"1996" "localN2" "29" "40" "52"
"1997" "localN2" "27" "39" "53"
"1998" "localN2" "20" "31" "43.0249999999999"
"1999" "localN2" "29" "41" "54"
"2000" "localN2" "21" "32" "45"
"2001" "localN2" "16" "26" "37"
"2002" "localN2" "32" "45" "59"
"2003" "localN2" "24" "34" "46"
"2004" "localN2" "19" "31" "42"
"2005" "localN2" "20" "32" "44"
"2006" "localN2" "21" "32" "46"
"2007" "localN2" "15" "27" "39"
"2008" "localN2" "37" "53" "70"
"2009" "localN2" "17" "30" "44.0249999999999"
"2010" "localN2" "25" "37" "50"
"2011" "localN2" "29" "41" "53"
"2012" "localN2" "42" "56" "72"
